CUSTOMER_ID,SEX,AGE,ANNUAL_INCOME,NUMBER_OF_MONTHS,MARITAL_STATUS,LEASE
5583,W,53,18200.0,13,J,P
5678,M,62,20160.0,14,J,P
5708,W,56,34244.0,14,G,P
5710,W,38,17920.0,14,G,P
5713,M,47,10025.76,8,G,R
5724,M,48,13390.0,13,J,E
5730,W,52,11200.0,14,J,P
5731,M,54,39598.0,13,J,P
5747,M,55,54000.0,12,J,P
5785,M,55,19524.0,12,J,P
5791,W,37,17862.0,13,G,P
5821,M,61,16113.63,13,S,R
5827,M,42,24466.0,13,J,P
5830,M,54,19292.0,13,J,P
5843,M,61,16900.0,13,J,P
5851,W,38,19180.0,14,G,A
5856,M,57,27742.0,13,J,P
5857,M,56,22400.0,14,J,P
5903,W,66,14000.0,14,J,P
5906,W,46,21700.0,14,J,P
5917,W,68,16029.0,13,W,P
5921,W,58,22302.0,14,J,P
5923,M,59,20475.0,13,J,P
5934,W,43,25928.0,14,G,R
5956,M,63,5316.0,12,J,P
5987,M,42,7553.82,6,C,P
5990,M,56,16731.0,13,J,P
5998,M,41,30108.0,13,J,R
6005,M,71,16900.0,13,J,P
6010,M,41,28600.0,13,J,P
6022,W,70,15743.0,13,J,P
6030,M,63,18200.0,13,S,R
6046,W,65,17043.0,13,C,P
6071,M,70,16250.0,13,J,R
6072,M,59,24720.0,12,J,P
6082,M,45,28600.0,13,J,P
6086,M,47,2176.0,13,J,P
6142,W,67,22844.9,13,J,P
6144,M,70,24050.0,13,J,R
6151,M,47,19773.0,13,G,A
6160,M,39,26000.0,13,J,R
6182,M,54,22100.0,13,J,P
6188,M,63,16367.0,13,J,P
6224,M,59,16954.0,14,S,P
6227,M,63,20800.0,13,D,P
6255,M,59,13585.0,13,S,P
6281,M,49,19877.0,13,J,P
6284,W,48,12259.0,13,J,P
6302,M,53,18720.0,13,G,P
6312,W,49,18005.0,13,J,P
6317,M,44,23945.09,13,J,P
6341,M,39,28574.0,13,J,P
6350,M,37,13650.0,13,J,P
6363,M,54,21600.0,12,J,P
6377,M,70,19253.0,13,J,P
6380,M,72,14300.0,13,J,P
6393,M,40,24050.0,13,G,A
6402,M,58,31388.0,14,J,P
6409,M,53,27911.0,13,J,P
6410,W,55,20159.75,13,J,P
6414,M,42,9315.0,5,J,P
6431,M,63,40092.0,13,J,P
6448,M,58,32864.0,13,J,P
6453,W,57,10738.0,13,J,P
6455,M,40,30212.0,13,C,P
6495,M,49,26000.0,13,D,P
6516,M,49,18291.0,13,J,R
6528,M,61,19201.0,13,W,P
6529,M,57,32742.96,12,J,P
6581,M,47,26600.0,14,J,X
6592,W,45,24276.0,12,G,P
6605,M,47,22711.0,13,J,P
6608,M,42,15597.92,13,J,P
6609,M,51,30940.0,14,J,P
6620,M,48,19500.0,13,J,P
6637,W,60,12600.0,14,D,P
6646,W,46,23400.0,13,G,A
6658,M,50,23400.0,13,J,P
6668,M,67,6552.0,13,J,P
6673,M,43,10608.0,12,S,A
6678,M,59,23270.0,13,J,R
6695,M,42,121800.0,12,J,P
6719,M,51,23894.0,13,J,P
6722,W,52,18312.0,14,J,P
6742,M,64,39360.0,12,J,P
6768,M,69,15600.0,13,J,P
6770,W,35,18200.0,13,J,P
6787,M,42,21450.0,13,J,P
6790,M,52,56000.0,14,C,P
6793,M,48,21938.0,14,J,P
6802,M,64,21654.36,13,J,P
6810,M,50,22334.0,13,C,P
6846,M,56,31850.0,13,J,A
6848,M,37,16800.0,14,G,R
6863,W,68,9490.0,13,W,P
