CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
1429,CONCLUDED REGULARLY,CL,61000.0,51000.0,10300.0,199.0,60,6.14,5.973,N,N
1429,CONCLUDED REGULARLY,CL,9300.0,4000.0,5425.0,244.0,24,11.22749,7.45022,N,N
1437,EARLY EXPIRED,CL,16060.0,2060.0,14130.0,258.0,70,8.112,7.531,N,N
1437,CONCLUDED REGULARLY,FL,299.0,0.0,299.0,29.9,10,0.0,0.0,N,N
1447,CONCLUDED REGULARLY,FL,2098.0,0.0,2098.0,182.0,12,7.744,7.482,N,N
1459,CONCLUDED REGULARLY,FL,558.98,0.0,586.37,58.64,10,0.01116,0.01116,N,N
1459,CONCLUDED REGULARLY,FL,851.99,0.0,851.99,85.2,10,0.00258,0.00258,N,N
1460,CONCLUDED REGULARLY,FL,248.0,0.0,248.0,20.67,12,0.03,0.03,N,N
1460,EARLY EXPIRED,PL,4000.0,0.0,4281.77,97.2,60,14.929,12.898,Y,N
1460,EARLY EXPIRED,PL,8000.0,0.0,8744.32,149.3,84,11.902,10.908,Y,Y
1460,EARLY EXPIRED,PL,12000.0,0.0,12764.5,278.9,60,12.77455,11.21472,N,Y
1460,CONCLUDED REGULARLY,FL,268.9,0.0,285.03,23.75,12,11.4324,0.0,N,N
1460,CONCLUDED REGULARLY,FL,348.87,0.0,364.56,30.38,12,8.5158,0.0,N,N
1460,EARLY EXPIRED,PL,8000.0,0.0,8250.0,168.1,60,10.31084,8.20732,Y,N
1460,EARLY EXPIRED,PL,10000.0,0.0,10250.0,208.9,60,10.05967,8.21717,N,Y
1460,CONCLUDED REGULARLY,FL,637.9,0.0,682.55,28.44,24,13.31999,0.00141,N,N
1507,EARLY EXPIRED,PL,7000.0,0.0,7556.87,138.0,72,10.89389,9.47369,Y,N
1573,CONCLUDED REGULARLY,FL,4800.0,0.0,4800.0,132.0,48,15.327,14.345,N,N
1573,EARLY EXPIRED,FL,4200.0,0.0,4400.0,133.8,36,9.515,5.972,N,N
1573,EARLY EXPIRED,CL,17000.0,4000.0,13195.0,204.0,84,8.84191,7.74687,N,N
1576,CONCLUDED REGULARLY,FL,959.0,300.0,659.0,73.22,9,0.0,0.0,N,N
1576,EARLY EXPIRED,PL,20000.0,0.0,23137.1,267.5,120,7.75805,6.90417,Y,N
1588,CONCLUDED REGULARLY,CL,2820.0,300.0,2702.72,126.0,24,16.072,11.026,N,N
1588,EARLY EXPIRED,PL,30000.0,0.0,31669.98,671.35,60,10.663,9.901,Y,N
1588,CONCLUDED REGULARLY,FL,2368.4,0.0,2368.4,2368.4,1,18.943,17.473,N,N
1618,CONCLUDED REGULARLY,FL,1515.0,0.0,1550.0,129.2,12,2.076,0.023,N,N
1623,CONCLUDED REGULARLY,FL,1399.0,0.0,1399.0,139.9,10,0.0,0.0,N,N
1623,CONCLUDED REGULARLY,FL,339.0,0.0,339.0,33.9,10,0.0,0.0,N,N
1623,CONCLUDED REGULARLY,FL,499.0,0.0,518.96,25.95,20,3.56791,0.00686,N,N
